argv,entry_frame,family,fell,final_dist_m,foot_comp,grid_cols,grid_rows,level_m,n_probes,param,probe,reached,rep,run_utc,skill,steps,t_reached_s
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.905242489632644,on,7,6,0.05,42,robot.FOOT_SPAN_X,gap_0p05,1,0,2026-08-29T13:18:52Z,WALK,2193,14.1
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.844752168819525,on,7,6,0.1,42,robot.FOOT_SPAN_X,gap_0p10,1,0,2026-08-29T13:18:52Z,WALK,2193,14.18
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.783271051497338,on,7,6,0.15,42,robot.FOOT_SPAN_X,gap_0p15,1,0,2026-08-29T13:18:52Z,WALK,2193,14.34
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.726680694733169,on,7,6,0.2,42,robot.FOOT_SPAN_X,gap_0p20,1,0,2026-08-29T13:18:52Z,WALK,2193,14.700000000000001
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.660557625385222,on,7,6,0.25,42,robot.FOOT_SPAN_X,gap_0p25,1,0,2026-08-29T13:18:52Z,WALK,2193,14.86
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.58517994749772,on,7,6,0.3,42,robot.FOOT_SPAN_X,gap_0p30,1,0,2026-08-29T13:18:52Z,WALK,2193,15.280000000000001
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.5807162588276755,on,7,6,0.35,42,robot.FOOT_SPAN_X,gap_0p35,1,0,2026-08-29T13:18:52Z,WALK,2193,15.34
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.513523611031067,on,7,6,0.4,42,robot.FOOT_SPAN_X,gap_0p40,1,0,2026-08-29T13:18:52Z,WALK,2193,15.66
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.474580917344989,on,7,6,0.45,42,robot.FOOT_SPAN_X,gap_0p45,1,0,2026-08-29T13:18:52Z,WALK,2193,15.68
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.359998475077232,on,7,6,0.5,42,robot.FOOT_SPAN_X,gap_0p50,1,0,2026-08-29T13:18:52Z,WALK,2193,16.06
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.3173026597983055,on,7,6,0.55,42,robot.FOOT_SPAN_X,gap_0p55,1,0,2026-08-29T13:18:52Z,WALK,2193,16.2
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,gap,0,6.293514617131337,on,7,6,0.6,42,robot.FOOT_SPAN_X,gap_0p60,1,0,2026-08-29T13:18:52Z,WALK,2193,16.34
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.4467031274229056,on,7,6,0.02,42,skill.STEP_TROT_MAX,step_up_0p02,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.4552736173135212,on,7,6,0.04,42,skill.STEP_TROT_MAX,step_up_0p04,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.9397530387055535,on,7,6,0.06,42,skill.STEP_TROT_MAX,step_up_0p06,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.838833369920886,on,7,6,0.08,42,skill.STEP_TROT_MAX,step_up_0p08,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.6637927876660725,on,7,6,0.1,42,skill.STEP_TROT_MAX,step_up_0p10,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.812158148188167,on,7,6,0.12,42,skill.STEP_TROT_MAX,step_up_0p12,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.8989584978942606,on,7,6,0.14,42,skill.STEP_TROT_MAX,step_up_0p14,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.884211836348668,on,7,6,0.16,42,skill.STEP_TROT_MAX,step_up_0p16,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.9085288642353684,on,7,6,0.18,42,skill.STEP_TROT_MAX,step_up_0p18,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.2563188468769078,on,7,6,0.2,42,skill.STEP_TROT_MAX,step_up_0p20,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.2723115854230607,on,7,6,0.22,42,skill.STEP_TROT_MAX,step_up_0p22,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,2.0567649695071273,on,7,6,0.24,42,skill.STEP_TROT_MAX,step_up_0p24,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,2.1228831569274367,on,7,6,0.26,42,skill.STEP_TROT_MAX,step_up_0p26,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.8634661380690452,on,7,6,0.28,42,skill.STEP_TROT_MAX,step_up_0p28,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.9865996028859751,on,7,6,0.3,42,skill.STEP_TROT_MAX,step_up_0p30,0,0,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,0,6.199564946041087,on,7,6,0.02,42,skill.STEP_WALK_MAX,step_up_0p02,1,0,2026-08-29T13:18:52Z,WALK,2193,17.0
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.2113017019002392,on,7,6,0.04,42,skill.STEP_WALK_MAX,step_up_0p04,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.9488894567686397,on,7,6,0.06,42,skill.STEP_WALK_MAX,step_up_0p06,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.5159794740420631,on,7,6,0.08,42,skill.STEP_WALK_MAX,step_up_0p08,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.692129676134239,on,7,6,0.1,42,skill.STEP_WALK_MAX,step_up_0p10,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.744199765068824,on,7,6,0.12,42,skill.STEP_WALK_MAX,step_up_0p12,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.7290275405217088,on,7,6,0.14,42,skill.STEP_WALK_MAX,step_up_0p14,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.7477240109981558,on,7,6,0.16,42,skill.STEP_WALK_MAX,step_up_0p16,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.7209991899664399,on,7,6,0.18,42,skill.STEP_WALK_MAX,step_up_0p18,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.7067615727029932,on,7,6,0.2,42,skill.STEP_WALK_MAX,step_up_0p20,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.7990123184427274,on,7,6,0.22,42,skill.STEP_WALK_MAX,step_up_0p22,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.8808287460746609,on,7,6,0.24,42,skill.STEP_WALK_MAX,step_up_0p24,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.9408222367177617,on,7,6,0.26,42,skill.STEP_WALK_MAX,step_up_0p26,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,1,1.7153516617653959,on,7,6,0.28,42,skill.STEP_WALK_MAX,step_up_0p28,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,0,step_up,0,1.9059185255478694,on,7,6,0.3,42,skill.STEP_WALK_MAX,step_up_0p30,0,0,2026-08-29T13:18:52Z,WALK,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.899529723798595,on,7,6,0.05,42,robot.FOOT_SPAN_X,gap_0p05,1,1,2026-08-29T13:18:52Z,WALK,2193,14.280000000000001
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.889829170852395,on,7,6,0.1,42,robot.FOOT_SPAN_X,gap_0p10,1,1,2026-08-29T13:18:52Z,WALK,2193,14.26
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.8592979310401,on,7,6,0.15,42,robot.FOOT_SPAN_X,gap_0p15,1,1,2026-08-29T13:18:52Z,WALK,2193,14.48
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.793150466896228,on,7,6,0.2,42,robot.FOOT_SPAN_X,gap_0p20,1,1,2026-08-29T13:18:52Z,WALK,2193,14.76
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.686464113407896,on,7,6,0.25,42,robot.FOOT_SPAN_X,gap_0p25,1,1,2026-08-29T13:18:52Z,WALK,2193,14.98
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.654852912426906,on,7,6,0.3,42,robot.FOOT_SPAN_X,gap_0p30,1,1,2026-08-29T13:18:52Z,WALK,2193,14.96
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.629520665388398,on,7,6,0.35,42,robot.FOOT_SPAN_X,gap_0p35,1,1,2026-08-29T13:18:52Z,WALK,2193,15.38
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.560771259429962,on,7,6,0.4,42,robot.FOOT_SPAN_X,gap_0p40,1,1,2026-08-29T13:18:52Z,WALK,2193,15.66
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.5736518415414995,on,7,6,0.45,42,robot.FOOT_SPAN_X,gap_0p45,1,1,2026-08-29T13:18:52Z,WALK,2193,15.66
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.488932204012032,on,7,6,0.5,42,robot.FOOT_SPAN_X,gap_0p50,1,1,2026-08-29T13:18:52Z,WALK,2193,16.22
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.481055881547614,on,7,6,0.55,42,robot.FOOT_SPAN_X,gap_0p55,1,1,2026-08-29T13:18:52Z,WALK,2193,16.28
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,7,gap,0,6.346097401812792,on,7,6,0.6,42,robot.FOOT_SPAN_X,gap_0p60,1,1,2026-08-29T13:18:52Z,WALK,2193,16.54
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.6170729875514227,on,7,6,0.02,42,skill.STEP_TROT_MAX,step_up_0p02,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.6060655662655106,on,7,6,0.04,42,skill.STEP_TROT_MAX,step_up_0p04,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.6071466441730218,on,7,6,0.06,42,skill.STEP_TROT_MAX,step_up_0p06,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.6196101881148013,on,7,6,0.08,42,skill.STEP_TROT_MAX,step_up_0p08,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.615939418730317,on,7,6,0.1,42,skill.STEP_TROT_MAX,step_up_0p10,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.62219722262232,on,7,6,0.12,42,skill.STEP_TROT_MAX,step_up_0p12,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.6262686703994604,on,7,6,0.14,42,skill.STEP_TROT_MAX,step_up_0p14,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.617983440663326,on,7,6,0.16,42,skill.STEP_TROT_MAX,step_up_0p16,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
--headless --device cpu --reps 5 --skip-unsupported --foot-comp on --heading heading-only --results-csv outputs/calibration_grid3.csv,6,step_up,1,3.6029210988614397,on,7,6,0.18,42,skill.STEP_TROT_MAX,step_up_0p18,0,1,2026-08-29T13:18:52Z,TROT,2193,nan
